ra,dec,pmra,pmdec,parallax,parallax_over_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,ruwe,teff_gspphot
201.90889872729852,-47.58262668075331,-2.8719127242881193,-7.204833770237144,0.2560314170587925,1.8248441,17.998297,18.094599,17.169744,0.97645974,5905.0527
201.8873865750813,-47.57275662767921,-2.795707553008131,-7.245523834685148,0.1904767672277101,7.0673485,13.176996,13.698059,12.465803,1.5428917,5821.58
201.92628071792777,-47.5893859818026,-3.327315424798401,-6.705711432443503,0.1218832291556548,0.7211085,18.249561,18.544147,17.745808,1.012322,5708.1763
201.92688246340697,-47.59379761383973,-3.850058719185167,-7.372212777272434,0.120183056029994,0.48257336,18.956387,19.215582,18.323748,1.0444083,5389.2437
201.94354070043835,-47.59168486859275,-3.647773509793754,-6.218845589686716,0.0065045485080267,0.111036755,16.58839,16.935476,15.887563,1.0277843,6013.7812
201.93065233472157,-47.59810502346114,-3.3106495186891034,-6.512211448058045,0.2747842254367797,5.604219,15.9826,16.431194,15.3546715,0.92960125,5531.8066
201.95849267820023,-47.57661297101549,-3.0926036379215267,-7.436259921717854,0.2022996748347318,1.3439282,18.221218,18.584564,17.799252,1.0739182,5729.5566
201.93665410525915,-47.57176855514036,-2.7191752088887675,-6.238695527797549,0.1898128677372772,2.402693,17.043388,17.368944,16.374418,1.1678506,5928.0264
201.944953783727,-47.57266515557481,-2.509461134550522,-7.0766444564838995,0.0703178019392096,0.3282821,18.868984,19.186815,18.293499,0.94389755,5294.2036
201.97660797255412,-47.57110965276004,-3.2838855032634653,-6.854978410236935,0.4152963099661513,2.9867144,18.18171,18.588316,17.667957,1.0075696,5287.137
201.9906608098092,-47.55698066503159,-3.06425733189789,-6.844765758629231,0.2119415300119662,1.421097,18.256573,18.349365,17.563673,1.0541741,5762.283
201.96208752045072,-47.54947943192901,-2.6639767515198987,-7.411491963084781,0.1478999125804539,1.385357,17.711287,18.018581,17.287195,0.9542471,5792.382
201.97414766043423,-47.54872963261073,-3.7130124297649183,-7.465583887951088,0.1483469454351661,3.0473533,15.846474,16.306147,15.22269,1.0756015,5657.847
201.96935090730116,-47.54565805636233,-3.1388182135982015,-7.0852658903825745,0.1323078582809859,1.0444115,17.956955,18.294376,17.482143,1.0318103,5661.8896
201.92303257968044,-47.57232643105417,-2.637453314696432,-7.009940739140379,0.0126630259029104,0.09452934,17.96586,18.246782,17.423193,1.0587254,5542.035
201.9273050109996,-47.55920040340015,-2.931263160298996,-7.399948575540453,0.057880493035139,0.3413634,18.482609,18.749897,17.903078,0.9495378,5608.738
201.9443485841905,-47.53830406660298,-3.228663601320103,-7.076897916930025,0.1548985542578229,1.09192,18.085169,18.28404,17.525986,0.9447624,5699.171
201.9309820447552,-47.55013779239882,-2.9123874009048007,-7.147035031655157,0.1566359330814143,1.2121997,17.99479,18.248,17.554678,0.97885126,5878.385
201.9311465040884,-47.54297475447157,-2.4102554331561863,-7.028492478766366,0.051412277040038,0.54665697,17.44195,17.696278,16.81318,1.0239347,5964.561
201.95781113337387,-47.54668868017382,-3.323766857842328,-6.574250207541279,0.4855639643404681,2.4471123,18.638288,18.995504,18.258783,1.046491,5705.194
201.95611636162457,-47.549329355377914,-3.5152918461435454,-6.628514831819368,0.2556531030488747,3.719916,16.905586,17.27046,16.258944,0.98488957,5292.9834
201.95437496908983,-47.5413803712849,-3.5545913068295003,-6.584921534662139,0.1709172198478878,1.4513615,17.805676,18.070911,17.25623,1.0310316,5580.4385
201.96482727498864,-47.52053563951549,-3.3863871844915847,-6.904840419474559,0.1200129076094977,0.9512282,17.970778,18.382345,17.540924,1.0738432,5439.751
201.97573048807357,-47.512922628935165,-2.823666434597552,-6.996917916025877,0.1913760482437123,0.7147768,18.954329,19.414576,18.53099,1.0582579,5258.7427
201.832455996464,-47.59500414598704,-2.6320244125461167,-6.571991617006882,0.2355158315838394,1.324901,17.932673,18.13147,17.305588,1.1674645,5551.5264
201.8435212652253,-47.58572123986526,-3.600456781753832,-7.035014140118742,0.1869391966676612,0.9189315,17.960415,18.186892,17.397005,1.1719273,5672.1655
201.8517331560325,-47.57830274660345,-3.8315952267393927,-7.581106642969244,0.161363062604542,0.7248422,18.52504,18.948145,17.9685,0.959642,5282.2197
201.8626282584495,-47.57126438841898,-3.240802297163932,-7.1035847478741445,0.1024921387340302,0.5418066,18.210407,18.423006,17.56117,1.1017079,5567.5073
201.8235425067716,-47.57786241223929,-3.3350312844921377,-6.559903167523116,0.1700385399973487,8.564263,13.084254,13.671121,12.340962,0.94495267,5516.822
201.8718314273895,-47.56572912631591,-4.2434801439408565,-6.87940430253213,0.0198119923698653,0.16888086,17.505556,17.81029,16.997244,0.9672148,5576.387
201.8725077160775,-47.56177473852337,-3.630503964604429,-6.982350454387612,0.2507779144223544,1.454152,17.75753,17.835598,17.020199,0.963347,5592.1597
